local_authority_id,local_authority_name,year,link_length_km,link_length_miles,cars_and_taxis,all_motor_vehicles
3,"Glasgow City",2021,1919.11,1192.48,1509083027,1997670568
3,"Glasgow City",2020,1914.24,1189.45,1312051603,1740065074
3,"Glasgow City",2019,1907.28,1185.13,1778069330,2251369418
3,"Glasgow City",2018,1899.7871,1180.47,1757265997,2216957730
3,"Glasgow City",2017,1886.94,1172.49,1756082547,2222993249
3,"Glasgow City",2016,1892.37,1175.86,1767484944,2214775288
3,"Glasgow City",2015,1871.67,1163,1728368196,2162050502
3,"Glasgow City",2014,1865.76,1159.33,1740851088,2178612684
3,"Glasgow City",2013,1860.088779,1155.81,1727657024,2161146348
3,"Glasgow City",2012,1852.99034,1151.39,1707838275,2131869036
3,"Glasgow City",2011,1836.1,1140.9,1641872567,2039616665
3,"Glasgow City",2010,1838.7,1142.52,1635812229,2034206809
3,"Glasgow City",2009,1835.7,1140.65,1688442780,2082751831
3,"Glasgow City",2008,1854.29,1152.2,1690352576,2106926944
3,"Glasgow City",2007,1841.69,1144.37,1679930607,2092329686
3,"Glasgow City",2006,1830.99,1137.72,1659200990,2061456083
3,"Glasgow City",2005,1796.39,1116.22,1643027508,2036081828
3,"Glasgow City",2004,1791.79,1113.37,1645166545,2025801263
3,"Glasgow City",2003,1821.234,1131.66,1621218159,1988986540
3,"Glasgow City",2002,1816.19,1128.53,1636038372,1985764577
3,"Glasgow City",2001,1811.39,1125.55,1587348590,1928992826
3,"Glasgow City",2000,1806.69,1122.63,1568287497,1903506031
3,"Glasgow City",1999,1801.89,1119.64,1572753636,1911293340
3,"Glasgow City",1998,1795.767,1115.84,1535981086,1875682409
3,"Glasgow City",1997,1790.29,1112.43,1499327816,1823632302
3,"Glasgow City",1996,1784.118,1108.6,1472546966,1780839116
3,"Glasgow City",1995,1779.054,1105.45,1430730473,1727074166
3,"Glasgow City",1994,1773.862,1102.23,1400717956,1688675412
3,"Glasgow City",1993,1768.535,1098.92,1381192597,1662587023
